machine_id,timestamp,scenario,engine_rpm,engine_temperature_c,hydraulic_pressure_bar,fuel_consumption_lph,fuel_level_percent,load_percentage,idle_time_minutes,machine_speed_kmh,seatbelt_fastened,operator_present,ambient_temperature_c,humidity_percent,machine_health_score,anomaly_label,refueled
CAT-SIM-EXC-001,2026-01-01 08:33:00,NORMAL,1921.2,82.22,259.74,8.89,99.23,60.13,2.24,6.41,1,1,35.49,64.24,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:34:00,NORMAL,1911.58,81.77,264.04,9.3,99.2,62.21,4.93,7.7,1,1,32.78,68.8,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:35:00,NORMAL,1798.83,81.31,259.11,7.98,99.17,43.43,0.1,6.65,1,1,34.27,49.91,99.64,0,0
CAT-SIM-EXC-001,2026-01-01 08:36:00,NORMAL,1866.57,81.32,274.73,9.09,99.15,59.67,0.74,5.16,1,1,34.09,67.63,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:37:00,NORMAL,1858.09,82.27,253.89,9.15,99.13,58.81,3.95,2.01,1,1,34.3,66.19,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:38:00,NORMAL,1846.66,81.89,256.7,8.16,99.1,47.49,2.83,7.59,1,1,33.46,61.88,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:39:00,NORMAL,1886.51,81.36,245.21,8.0,99.1,44.06,2.74,3.68,1,1,32.47,51.48,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:40:00,NORMAL,1894.43,81.05,257.35,8.99,99.07,57.73,0.14,4.71,1,1,34.86,75.36,99.81,0,0
CAT-SIM-EXC-001,2026-01-01 08:41:00,NORMAL,1788.71,79.81,273.15,8.11,99.05,44.59,6.49,4.24,1,1,33.69,61.87,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:42:00,NORMAL,1973.7,80.74,267.35,9.61,99.03,69.61,0.22,0.08,1,1,34.19,74.51,99.19,0,0
CAT-SIM-EXC-001,2026-01-01 08:43:00,NORMAL,1886.22,80.56,255.5,8.72,98.99,53.56,0.14,0.88,1,1,33.63,58.45,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:44:00,NORMAL,1899.49,81.68,263.43,9.34,98.95,63.23,9.46,6.61,1,1,33.94,84.57,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:45:00,NORMAL,1784.76,81.68,251.42,8.65,98.93,54.92,0.96,3.81,1,1,35.72,55.41,99.03,0,0
CAT-SIM-EXC-001,2026-01-01 08:46:00,NORMAL,1930.63,82.93,274.29,9.6,98.91,65.78,7.11,4.57,1,1,33.06,45.2,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:47:00,NORMAL,1734.04,81.92,248.72,7.16,98.89,34.23,6.4,7.69,1,1,33.78,54.81,99.19,0,0
CAT-SIM-EXC-001,2026-01-01 08:48:00,NORMAL,1742.97,80.94,242.77,6.69,98.87,30.36,1.0,0.15,1,1,34.41,52.73,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:49:00,NORMAL,1741.48,79.86,258.38,6.98,98.86,32.99,3.13,4.76,1,1,34.24,51.95,99.43,0,0
CAT-SIM-EXC-001,2026-01-01 08:50:00,NORMAL,1833.7,79.85,262.77,8.13,98.83,51.08,5.5,6.18,1,1,34.27,45.04,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:51:00,NORMAL,1841.89,79.7,252.36,8.54,98.8,51.73,0.29,1.23,1,1,32.93,74.83,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:52:00,NORMAL,1879.91,80.34,257.2,8.81,98.78,53.61,0.49,3.72,1,1,34.86,54.9,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:53:00,NORMAL,1821.7,80.32,244.44,7.99,98.75,43.84,6.42,0.66,1,1,34.32,50.84,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 08:54:00,NORMAL,1942.89,81.65,271.36,9.98,98.73,67.41,4.59,4.9,1,1,33.73,49.97,99.9,0,0
CAT-SIM-EXC-001,2026-01-01 08:55:00,NORMAL,1783.55,81.69,262.85,8.3,98.69,49.17,1.91,5.95,1,1,34.81,46.63,99.16,0,0
CAT-SIM-EXC-001,2026-01-01 08:56:00,NORMAL,1987.41,82.83,265.7,9.92,98.69,68.43,2.97,5.88,1,1,33.59,61.13,99.59,0,0
CAT-SIM-EXC-001,2026-01-01 08:57:00,NORMAL,1755.68,81.92,236.56,7.9,98.65,41.35,1.88,6.69,1,1,33.64,60.82,98.61,0,0
CAT-SIM-EXC-001,2026-01-01 08:58:00,NORMAL,1941.05,81.16,264.68,8.96,98.64,53.72,0.3,5.22,1,1,34.72,65.5,98.59,0,0
CAT-SIM-EXC-001,2026-01-01 08:59:00,NORMAL,1866.74,79.58,235.0,7.13,98.63,35.83,8.9,2.02,1,1,33.11,54.39,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:00:00,NORMAL,1934.47,80.4,265.02,10.05,98.61,69.47,0.16,5.12,1,1,33.68,73.22,99.52,0,0
CAT-SIM-EXC-001,2026-01-01 09:01:00,NORMAL,1827.14,80.14,259.95,8.4,98.59,51.29,0.63,5.85,1,1,31.56,72.44,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:02:00,NORMAL,1958.41,80.8,275.27,9.81,98.56,67.64,2.58,2.79,1,1,33.09,79.58,99.74,0,0
CAT-SIM-EXC-001,2026-01-01 09:03:00,NORMAL,1865.02,82.24,258.14,9.1,98.55,64.76,3.14,2.63,1,1,33.08,49.36,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:04:00,NORMAL,2027.55,82.08,262.53,8.89,98.52,60.37,9.08,6.78,1,1,34.36,66.83,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:05:00,NORMAL,1893.46,82.41,279.98,9.74,98.52,68.19,0.66,3.83,1,1,33.72,73.62,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:06:00,NORMAL,1872.29,82.25,264.55,9.19,98.5,62.93,5.89,6.4,1,1,33.61,66.29,99.86,0,0
CAT-SIM-EXC-001,2026-01-01 09:07:00,NORMAL,1979.44,81.75,262.17,8.89,98.48,55.52,4.74,5.17,1,1,34.06,48.48,98.38,0,0
CAT-SIM-EXC-001,2026-01-01 09:08:00,NORMAL,1734.26,80.86,243.19,7.17,98.45,35.99,0.8,6.95,1,1,33.71,57.08,99.3,0,0
CAT-SIM-EXC-001,2026-01-01 09:09:00,NORMAL,1844.7,81.42,272.89,8.72,98.42,53.88,1.77,5.8,1,1,32.88,70.52,99.25,0,0
CAT-SIM-EXC-001,2026-01-01 09:10:00,NORMAL,1858.22,80.83,261.11,8.03,98.41,47.7,0.22,5.12,1,1,34.07,70.81,98.64,0,0
CAT-SIM-EXC-001,2026-01-01 09:11:00,NORMAL,1994.78,81.86,273.48,9.78,98.39,68.47,0.56,3.28,1,1,33.21,47.09,99.09,0,0
CAT-SIM-EXC-001,2026-01-01 09:12:00,NORMAL,1801.12,80.51,238.11,7.06,98.36,33.72,6.0,4.87,1,1,33.12,83.97,98.46,0,0
CAT-SIM-EXC-001,2026-01-01 09:13:00,NORMAL,1796.96,79.23,256.75,7.68,98.35,36.47,2.51,3.13,1,1,32.38,54.56,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:14:00,NORMAL,1809.25,78.61,246.27,7.26,98.34,36.15,2.57,3.83,1,1,34.91,73.86,99.2,0,0
CAT-SIM-EXC-001,2026-01-01 09:15:00,NORMAL,1897.89,79.16,253.97,8.83,98.3,53.77,0.0,0.14,1,1,33.58,64.13,99.44,0,0
CAT-SIM-EXC-001,2026-01-01 09:16:00,NORMAL,1736.56,79.36,249.93,6.94,98.27,32.99,0.59,5.53,1,1,32.8,64.38,99.41,0,0
CAT-SIM-EXC-001,2026-01-01 09:17:00,NORMAL,1743.09,78.92,272.52,7.89,98.26,44.17,0.58,3.1,1,1,32.86,71.23,99.01,0,0
CAT-SIM-EXC-001,2026-01-01 09:18:00,NORMAL,1703.01,78.07,236.1,7.03,98.23,31.71,3.12,3.99,1,1,33.71,69.76,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:19:00,NORMAL,1778.29,78.16,241.81,6.95,98.19,33.06,0.88,6.25,1,1,34.2,79.38,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:20:00,NORMAL,1876.89,78.06,260.21,8.66,98.15,56.36,0.11,4.07,1,1,33.01,63.02,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:21:00,NORMAL,1787.12,78.16,246.44,7.51,98.12,39.11,9.64,3.83,1,1,33.35,47.75,99.96,0,0
CAT-SIM-EXC-001,2026-01-01 09:22:00,NORMAL,1860.16,78.44,251.53,8.67,98.1,53.94,2.4,3.11,1,1,32.37,81.81,99.68,0,0
CAT-SIM-EXC-001,2026-01-01 09:23:00,NORMAL,1892.11,79.14,271.6,8.82,98.06,55.44,0.6,0.43,1,1,33.16,84.7,99.46,0,0
CAT-SIM-EXC-001,2026-01-01 09:24:00,NORMAL,1864.82,79.55,259.39,7.94,98.04,46.54,2.84,0.85,1,1,33.4,72.41,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:25:00,NORMAL,1842.55,78.88,254.38,7.99,98.02,42.44,2.86,5.5,1,1,33.33,74.67,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:26:00,NORMAL,1801.21,79.19,254.22,8.28,97.99,48.81,1.46,5.15,1,1,33.37,45.44,99.58,0,0
CAT-SIM-EXC-001,2026-01-01 09:27:00,NORMAL,1889.79,79.68,255.35,9.12,97.97,58.12,2.74,4.82,1,1,32.15,61.09,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:28:00,NORMAL,1941.2,81.11,270.5,9.37,97.93,62.05,1.07,1.39,1,1,34.12,59.94,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:29:00,NORMAL,1919.47,80.88,271.26,9.65,97.91,67.18,1.42,3.69,1,1,31.96,84.19,99.51,0,0
CAT-SIM-EXC-001,2026-01-01 09:30:00,NORMAL,1788.13,80.07,235.83,6.82,97.89,30.54,11.05,2.97,1,1,33.16,81.16,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:31:00,NORMAL,1906.06,80.38,253.34,8.61,97.86,51.93,4.65,5.0,1,1,34.65,58.84,99.44,0,0
CAT-SIM-EXC-001,2026-01-01 09:32:00,NORMAL,1926.42,82.1,257.28,9.85,97.83,69.22,2.35,6.33,1,1,32.16,57.35,98.9,0,0
CAT-SIM-EXC-001,2026-01-01 09:33:00,NORMAL,1775.28,81.11,243.96,7.43,97.81,34.48,4.74,3.98,1,1,32.82,71.57,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:34:00,NORMAL,1849.76,81.3,250.89,8.17,97.78,52.1,1.0,3.13,1,1,32.3,51.46,99.87,0,0
CAT-SIM-EXC-001,2026-01-01 09:35:00,NORMAL,1766.8,80.68,254.03,7.8,97.75,42.49,6.82,4.16,1,1,32.25,52.82,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:36:00,NORMAL,1954.22,81.16,258.95,9.19,97.72,62.82,10.3,6.85,1,1,32.72,51.75,99.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:37:00,NORMAL,1735.79,79.54,246.29,6.96,97.71,31.17,1.43,7.79,1,1,33.86,84.88,98.89,0,0
CAT-SIM-EXC-001,2026-01-01 09:38:00,NORMAL,1928.1,80.45,259.78,9.28,97.69,58.76,4.04,1.53,1,1,32.23,77.77,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:39:00,NORMAL,1905.12,80.57,252.03,8.86,97.67,57.27,14.39,0.58,1,1,33.19,55.16,98.31,0,0
CAT-SIM-EXC-001,2026-01-01 09:40:00,NORMAL,1773.11,79.26,248.63,6.84,97.65,32.36,6.22,0.0,1,1,32.71,75.53,99.05,0,0
CAT-SIM-EXC-001,2026-01-01 09:41:00,NORMAL,1958.78,80.73,262.48,9.77,97.62,68.65,10.81,6.61,1,1,32.61,61.51,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:42:00,NORMAL,1806.1,80.85,243.73,7.59,97.61,40.53,1.0,6.6,1,1,33.59,66.31,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:43:00,NORMAL,1849.44,81.01,253.72,8.72,97.59,56.35,2.01,5.9,1,1,34.62,78.53,99.92,0,0
CAT-SIM-EXC-001,2026-01-01 09:44:00,NORMAL,1963.82,80.97,271.96,9.33,97.56,61.55,0.42,1.87,1,1,33.5,50.5,99.38,0,0
CAT-SIM-EXC-001,2026-01-01 09:45:00,NORMAL,1787.33,79.67,233.4,8.35,97.56,48.79,2.92,3.76,1,1,31.54,80.66,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:46:00,NORMAL,1782.33,79.74,255.61,7.65,97.53,41.11,5.11,4.25,1,1,32.99,56.4,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:47:00,NORMAL,1968.32,80.81,271.07,9.9,97.51,68.16,0.01,5.74,1,1,32.17,80.29,99.33,0,0
CAT-SIM-EXC-001,2026-01-01 09:48:00,NORMAL,1885.74,80.3,263.17,8.21,97.48,46.51,6.57,4.79,1,1,32.94,68.85,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:49:00,NORMAL,1798.81,79.84,241.8,7.11,97.45,33.38,4.95,1.73,1,1,34.05,78.16,99.7,0,0
CAT-SIM-EXC-001,2026-01-01 09:50:00,NORMAL,1899.86,79.76,257.26,8.47,97.46,48.0,0.31,7.12,1,1,33.55,48.1,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:51:00,NORMAL,1802.29,79.3,237.2,6.96,97.45,30.27,2.72,0.81,1,1,31.84,46.79,99.06,0,0
CAT-SIM-EXC-001,2026-01-01 09:52:00,NORMAL,1864.44,80.07,255.31,9.49,97.43,67.03,1.13,1.18,1,1,32.76,51.69,99.53,0,0
CAT-SIM-EXC-001,2026-01-01 09:53:00,NORMAL,1755.46,79.19,245.04,7.1,97.41,31.24,2.28,1.35,1,1,30.8,62.77,99.14,0,0
CAT-SIM-EXC-001,2026-01-01 09:54:00,NORMAL,1845.72,78.99,261.84,8.55,97.4,53.32,4.58,5.88,1,1,33.06,65.3,99.31,0,0
CAT-SIM-EXC-001,2026-01-01 09:55:00,NORMAL,1770.67,78.26,255.1,6.84,97.38,31.52,0.18,5.45,1,1,32.96,79.1,99.95,0,0
CAT-SIM-EXC-001,2026-01-01 09:56:00,NORMAL,1988.25,79.68,260.07,9.85,97.36,66.75,6.75,3.65,1,1,33.89,57.1,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:57:00,NORMAL,1830.12,80.03,241.27,7.81,97.34,40.24,4.31,7.43,1,1,32.55,47.38,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:58:00,NORMAL,1956.09,80.6,271.13,9.54,97.32,67.48,6.47,5.6,1,1,31.84,66.14,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 09:59:00,NORMAL,1863.55,80.71,248.35,8.18,97.29,49.13,3.3,1.69,1,1,31.03,70.28,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:00:00,NORMAL,1975.42,81.29,263.78,9.39,97.25,64.68,2.43,5.1,1,1,32.72,66.96,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:01:00,NORMAL,1876.18,81.64,271.55,9.39,97.24,62.95,1.54,0.82,1,1,31.09,49.8,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:02:00,NORMAL,1926.95,82.11,271.53,9.58,97.21,66.29,1.42,7.49,1,1,33.18,63.68,99.16,0,0
CAT-SIM-EXC-001,2026-01-01 10:03:00,NORMAL,1931.38,82.33,253.5,9.82,97.18,67.76,3.02,8.0,1,1,32.77,55.17,99.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:04:00,NORMAL,1839.93,81.8,256.43,8.04,97.15,44.85,3.13,6.37,1,1,32.37,70.38,99.66,0,0
CAT-SIM-EXC-001,2026-01-01 10:05:00,NORMAL,1870.7,82.01,251.15,8.36,97.14,51.75,0.83,7.29,1,1,33.98,68.17,99.75,0,0
CAT-SIM-EXC-001,2026-01-01 10:06:00,NORMAL,1785.77,80.99,245.79,7.47,97.11,40.69,5.84,4.6,1,1,32.74,73.99,98.11,0,0
CAT-SIM-EXC-001,2026-01-01 10:07:00,NORMAL,1923.71,81.59,260.61,8.74,97.08,56.52,3.38,4.38,1,1,31.79,58.67,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:08:00,NORMAL,1882.89,80.87,251.16,7.77,97.07,39.57,3.1,4.49,1,1,32.47,69.13,98.86,0,0
CAT-SIM-EXC-001,2026-01-01 10:09:00,NORMAL,1866.78,81.41,261.8,8.74,97.04,59.0,3.51,5.52,1,1,31.58,84.27,99.3,0,0
CAT-SIM-EXC-001,2026-01-01 10:10:00,NORMAL,1877.62,80.89,233.59,7.13,97.03,37.21,5.98,3.85,1,1,33.31,82.96,99.24,0,0
CAT-SIM-EXC-001,2026-01-01 10:11:00,NORMAL,1808.9,80.87,264.39,8.08,97.02,48.36,3.6,3.16,1,1,32.54,70.46,99.76,0,0
CAT-SIM-EXC-001,2026-01-01 10:12:00,NORMAL,1942.67,81.3,246.03,9.45,96.99,61.38,4.9,0.37,1,1,31.03,76.25,99.16,0,0
CAT-SIM-EXC-001,2026-01-01 10:13:00,NORMAL,1873.71,81.39,253.41,8.63,96.97,55.42,0.97,4.98,1,1,31.6,61.11,98.91,0,0
CAT-SIM-EXC-001,2026-01-01 10:14:00,NORMAL,1813.93,80.83,243.81,7.33,96.96,35.75,5.61,3.21,1,1,32.8,62.26,99.34,0,0
CAT-SIM-EXC-001,2026-01-01 10:15:00,NORMAL,1889.77,81.88,264.91,9.61,96.93,65.18,5.26,0.38,1,1,31.58,56.83,97.08,0,0
CAT-SIM-EXC-001,2026-01-01 10:16:00,NORMAL,1861.14,81.96,253.11,8.78,96.9,53.62,3.85,1.6,1,1,33.19,46.82,98.92,0,0
CAT-SIM-EXC-001,2026-01-01 10:17:00,NORMAL,1894.84,82.24,265.27,10.02,96.87,69.98,4.31,4.34,1,1,33.62,75.36,98.25,0,0
CAT-SIM-EXC-001,2026-01-01 10:18:00,NORMAL,1890.54,81.63,264.36,8.52,96.85,52.4,0.57,7.78,1,1,32.26,70.14,99.8,0,0
CAT-SIM-EXC-001,2026-01-01 10:19:00,NORMAL,1874.57,81.17,277.42,9.23,96.82,60.59,2.39,2.5,1,1,32.08,47.08,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:20:00,NORMAL,1763.54,81.07,266.76,8.45,96.81,51.37,1.11,3.86,1,1,31.85,69.64,98.51,0,0
CAT-SIM-EXC-001,2026-01-01 10:21:00,NORMAL,1892.56,81.78,273.95,9.69,96.77,69.28,0.53,1.5,1,1,32.91,77.66,99.89,0,0
CAT-SIM-EXC-001,2026-01-01 10:22:00,NORMAL,1892.1,81.8,259.65,8.96,96.76,57.1,4.61,5.87,1,1,32.64,80.12,99.97,0,0
CAT-SIM-EXC-001,2026-01-01 10:23:00,NORMAL,1870.29,82.1,245.75,8.72,96.76,53.29,0.23,4.84,1,1,31.84,84.08,99.18,0,0
CAT-SIM-EXC-001,2026-01-01 10:24:00,NORMAL,1915.66,82.15,264.14,8.68,96.76,52.14,1.4,4.51,1,1,32.38,68.81,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:25:00,NORMAL,1829.9,82.16,257.58,7.88,96.75,45.42,8.42,1.76,1,1,31.23,53.52,99.97,0,0
CAT-SIM-EXC-001,2026-01-01 10:26:00,NORMAL,1916.29,82.13,257.59,8.23,96.72,47.54,3.62,1.63,1,1,33.68,74.71,99.75,0,0
CAT-SIM-EXC-001,2026-01-01 10:27:00,NORMAL,1921.63,81.85,246.52,9.65,96.69,65.4,1.0,6.29,1,1,32.53,61.99,98.62,0,0
CAT-SIM-EXC-001,2026-01-01 10:28:00,NORMAL,2047.15,81.36,263.92,9.55,96.68,63.35,0.47,6.27,1,1,31.68,76.99,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:29:00,NORMAL,1936.5,82.42,258.84,9.59,96.67,66.96,4.63,7.54,1,1,30.88,61.31,99.9,0,0
CAT-SIM-EXC-001,2026-01-01 10:30:00,NORMAL,1815.67,81.02,251.9,7.62,96.65,38.64,3.0,2.99,1,1,32.54,67.14,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:31:00,NORMAL,1716.32,79.64,240.76,7.74,96.63,41.84,3.84,3.08,1,1,30.17,76.78,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:32:00,NORMAL,1819.05,78.68,259.07,7.14,96.6,34.86,0.38,1.7,1,1,32.0,56.87,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:33:00,NORMAL,1802.08,78.74,257.72,8.08,96.58,46.47,1.19,4.37,1,1,31.22,67.88,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:34:00,NORMAL,1945.71,79.62,265.21,9.31,96.56,60.92,3.36,3.26,1,1,31.83,62.56,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:35:00,NORMAL,1909.59,79.77,256.24,8.36,96.53,51.26,1.56,3.87,1,1,32.67,75.11,99.97,0,0
CAT-SIM-EXC-001,2026-01-01 10:36:00,NORMAL,1822.64,80.11,254.63,8.29,96.51,50.53,3.92,4.87,1,1,31.32,52.27,100.0,0,0
CAT-SIM-EXC-001,2026-01-01 10:37:00,NORMAL,1774.89,78.95,239.27,7.33,96.5,34.15,1.67,4.38,1,1,31.61,60.17,99.2,0,0
